Fintech_Comp_Name,Ticker
PayPal,PYPL
Square,SQ
Visa,V
MasterCard,MA
Equifax,EFX
Nasdaq,%5Eixic
Fiserv,FISV
Thomson Reuters,TRI
American Express,AXP
Western Union,WU
First Data,FDC
CBOE,CBOE
Broadridge,BR
ACI Worldwide,ACIW
FIS,FIS
PayPal,PYPL
Square,SQ
Visa,V
MasterCard,MA
Equifax,EFX
Nasdaq,%5Eixic
Fiserv,FISV
Thomson Reuters,TRI
American Express,AXP
Western Union,WU
CBOE,CBOE
First Data,FDC
Broadridge,BR
ACI Worldwide,ACIW
FIS,FIS
IHS Markit,INFO
Lending Club,LC
CME Group,CME
Envestnet,ENV
Global Payments Inc.,GPN
FactSet,FDS
MSCI,MSCI
TSYS,tsys
Intercontinental Exchange,ICE
Vantiv,VNTV
Cardtronics,CATM
S&P Global,SPGI
VeriFone,pay
MarketAxess,MKTX
WEX Inc.,WEX
SS&C Technologies,SSNC
Dun & Bradstreet,DNB
Green Dot,GDOT
Black Knight,BKI
Blackhawk Network,HAWK
Verisk Analytics,VRSK
Virtu Financial,VIRT
Euronet Worldwide,EEFT
Bankrate,RATE
CoreLogic,CLGX
FLEETCOR,FLT
Moody's Corporation,MCO
FICO (Fair Isaac),FICO
Jack Henry & Assoc.,JKHY
BofI Federal Bank,bofi
EverBank Financial,EVERPRA
EVERTEC,EVTC
SEI Investments,SEIC
Comenity,SYF
